candidate_id,dataset_version,label_version,label_status,is_suitable,candidate_origin,source_dataset,district_id,district_name,zone_id,population_density,num_households,nse_ab_pct,nse_c_pct,nse_de_pct,urbanization_rate,dist_nearest_road_m,walkability_score,poi_commercial_500m,poi_educational_500m,poi_parks_500m,land_use_encoded,area_m2,dist_nearest_recycling_m,recycling_density_1km,waste_per_capita_kg,coverage_gap_index,accessibility_composite,nse_high_ratio,recycling_deficit,is_optimal,suitability_score,evidence_summary,label_reason,review_notes
ECO-SIM-V03-0011,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,1,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,10,19242.5,1792,0.7434,0.4233,0.0,0.7513,12.4,0.7375,30,4,1,0,59.1,803.6,0,0.772,0.5165,0.826,0.7434,1,1,0.9781,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0012,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,0,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,11,18983.4,1925,0.7238,0.2439,0.0323,0.7624,68.1,0.9399,32,4,0,0,145.0,54.7,3,0.545,0.2979,0.8731,0.7238,0,0,0.9499,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0013,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,0,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,12,17168.4,1956,0.6406,0.3525,0.007,0.8954,16.1,0.8936,39,0,1,0,290.7,344.6,4,0.765,0.126,0.9147,0.6406,0,0,0.8983,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0014,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,0,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,13,19874.5,2108,0.5554,0.3113,0.1333,0.9424,29.2,0.9238,40,2,2,1,107.8,249.3,2,0.536,0.2442,0.9153,0.5554,0,0,0.9488,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0015,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,1,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,14,18192.1,2040,0.7072,0.3238,0.0,0.8073,62.1,0.4836,41,4,1,0,506.0,1330.2,0,0.814,0.5404,0.6074,0.7072,1,1,0.9815,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0016,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,0,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,15,14808.8,1500,0.6471,0.4302,0.0,0.9539,12.9,0.7847,36,4,2,2,93.5,182.5,2,0.982,0.1359,0.8536,0.6471,0,0,0.9243,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0017,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,1,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,16,17940.3,1889,0.7233,0.393,0.0,0.7637,57.8,0.4454,39,1,0,0,194.6,678.3,1,0.632,0.8988,0.5902,0.7233,1,1,0.9631,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0018,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,0,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,17,14554.8,1332,0.7022,0.457,0.0,0.9422,34.3,0.7146,49,6,0,1,153.1,943.7,3,0.321,0.9348,0.783,0.7022,1,0,0.9533,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0019,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,1,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,18,19240.0,2104,0.8602,0.3376,0.0,0.9727,30.8,0.9316,34,3,2,0,279.1,65.4,5,0.568,0.1696,0.9179,0.8602,0,1,0.9547,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0020,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,0,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,19,16872.7,1486,0.6761,0.2943,0.0296,0.9353,53.0,0.5557,37,6,0,0,146.6,259.9,1,0.835,0.0318,0.6628,0.6761,0,0,0.9423,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0021,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,0,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,20,16528.6,1781,0.5977,0.3321,0.0703,0.9175,1.0,0.5233,34,1,0,0,197.0,297.9,4,0.733,0.0677,0.7126,0.5977,0,0,0.898,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0022,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,0,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,21,15263.6,1746,0.7179,0.3694,0.0,0.9511,11.2,0.8433,42,5,1,2,202.6,256.8,1,0.687,0.2522,0.891,0.7179,0,0,0.9494,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0023,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,1,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,22,20117.5,1715,0.722,0.3641,0.0,0.7596,6.8,0.6331,43,3,2,2,136.0,698.3,6,0.801,0.9596,0.7708,0.722,1,1,0.9714,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0024,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,0,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,23,16605.9,1736,0.8359,0.2632,0.0,0.7984,9.9,0.5655,37,3,1,0,360.7,20.4,2,0.723,0.1182,0.7262,0.8359,0,0,0.9146,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0025,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,0,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,24,15907.8,1333,0.7835,0.3572,0.0,0.78,12.7,0.64,40,3,3,0,296.1,107.8,3,0.833,0.0738,0.7671,0.7835,0,0,0.9033,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0026,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,1,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,25,16102.1,1755,0.7357,0.3683,0.0,0.8711,7.7,0.8967,33,2,2,3,227.9,84.6,1,0.788,0.1475,0.9277,0.7357,0,1,0.9687,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0027,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,1,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,26,18357.4,1530,0.8463,0.5514,0.0,0.9288,17.9,0.6245,36,4,0,1,173.4,35.2,2,0.878,0.2417,0.7508,0.8463,0,1,0.9648,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0028,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,0,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,27,17931.9,2105,0.5811,0.5001,0.0,0.9012,10.6,0.9193,31,5,0,0,462.8,103.7,2,0.704,0.2685,0.9375,0.5811,0,0,0.9331,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0029,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,0,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,28,18052.5,1543,0.636,0.2817,0.0822,0.9543,16.8,0.9075,34,3,3,0,202.6,152.2,1,0.786,0.021,0.9221,0.636,0,0,0.9321,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0030,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,0,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,29,18098.6,2142,0.6073,0.327,0.0656,0.7873,19.5,0.7183,44,3,1,1,191.5,156.8,4,0.604,0.1724,0.8049,0.6073,0,0,0.9162,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0031,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,1,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,30,22461.2,2516,0.661,0.2329,0.1061,0.9263,8.1,0.6627,43,3,1,1,266.1,12.5,0,0.56,0.1402,0.7868,0.661,0,1,0.9847,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0032,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,0,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,31,15963.6,1656,0.5623,0.3027,0.1349,0.7963,29.1,0.6192,31,4,0,1,950.8,291.1,1,0.906,0.1843,0.7327,0.5623,0,0,0.8677,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0033,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,1,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,32,15693.8,1746,0.7635,0.3752,0.0,0.815,35.3,0.9747,36,2,2,3,83.7,69.2,0,0.682,0.1342,0.9378,0.7635,0,1,0.966,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0034,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,0,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,33,14924.9,1668,0.6778,0.4465,0.0,0.9204,46.7,0.5884,26,3,1,0,453.0,211.5,5,0.771,0.1196,0.6907,0.6778,0,0,0.7623,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0035,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,0,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,34,18570.7,2188,0.5529,0.2917,0.1554,0.9852,6.9,0.5302,43,4,3,0,53.8,261.2,2,0.669,0.1416,0.7089,0.5529,0,0,0.9095,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0036,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,0,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,35,19878.9,1791,0.5984,0.2977,0.1039,0.8968,29.8,0.7437,46,5,0,0,291.1,361.7,3,0.562,0.1746,0.8066,0.5984,0,0,0.9271,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0037,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,0,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,36,16709.4,1731,0.7314,0.1782,0.0904,0.7631,41.2,0.9523,29,6,0,0,862.7,190.7,1,0.652,0.1503,0.9165,0.7314,0,0,0.9483,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0038,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,0,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,37,14857.6,1245,0.7838,0.337,0.0,0.8979,1.4,0.9152,31,2,0,0,361.7,34.5,2,0.865,0.1416,0.9472,0.7838,0,0,0.9304,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0039,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,0,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,38,14897.6,1558,0.8997,0.265,0.0,0.7602,17.1,0.4828,38,2,0,0,280.5,10.0,3,0.733,0.2454,0.6669,0.8997,0,0,0.9175,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0040,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,1,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,39,18659.0,1620,0.95,0.3076,0.0,0.9622,28.5,0.6992,41,2,0,0,156.3,199.5,0,0.393,0.2237,0.7815,0.95,0,1,0.9637,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0041,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,0,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,40,18895.3,1938,0.7414,0.2799,0.0,0.9203,8.9,0.3501,38,1,1,1,250.8,634.5,1,0.618,0.5676,0.5981,0.7414,1,0,0.9369,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0042,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,1,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,41,18385.0,1891,0.601,0.3425,0.0565,0.7916,55.2,0.5278,34,5,0,0,200.0,1399.9,2,0.917,0.5585,0.6431,0.601,1,1,0.9644,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0043,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,1,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,42,15303.0,1509,0.4868,0.2094,0.3038,0.772,38.9,0.7377,36,0,3,0,130.5,525.0,2,0.618,0.5517,0.7908,0.4868,1,1,0.9594,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0044,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,0,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,43,17592.0,1775,0.7268,0.2326,0.0406,0.794,5.7,0.7539,41,1,2,1,194.0,177.2,3,0.38,0.046,0.8447,0.7268,0,0,0.9452,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0045,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,0,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,44,17297.5,1912,0.6187,0.5203,0.0,0.9852,17.9,0.3235,44,4,1,1,286.8,1070.0,4,0.934,0.6757,0.5702,0.6187,1,0,0.8731,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0046,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,1,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,45,17557.7,1965,0.6585,0.247,0.0945,0.8601,100.6,0.757,34,5,0,2,132.5,959.0,0,0.752,0.6083,0.7201,0.6585,1,1,0.9749,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0047,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,1,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,46,19222.1,1916,0.6388,0.2623,0.099,0.9382,23.9,0.6056,43,1,1,2,128.4,581.2,1,0.639,0.8459,0.7314,0.6388,1,1,0.9826,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
ECO-SIM-V03-0048,simulated-training-v0.3,simulated-is-suitable-v0.3,etiquetado_simulado,0,simulated_candidate_cell,ml.data_generator.generate_synthetic_dataset,1,Miraflores,47,17570.2,1827,0.6859,0.497,0.0,0.9027,42.7,0.4656,46,5,1,1,82.4,986.8,3,0.594,0.8434,0.6225,0.6859,1,0,0.9363,Registro simulado para desarrollo tecnico de entrenamiento y endpoints.,Etiqueta simulada derivada de suitability_score y tasa positiva controlada; no es evidencia real de tesis.,"Usar para desarrollo, pruebas y contratos de API; no reportar como resultado real."
