zone_id,district_id,district_name,population_density,num_households,nse_ab_pct,nse_c_pct,nse_de_pct,urbanization_rate,dist_nearest_road_m,walkability_score,poi_commercial_500m,poi_educational_500m,poi_parks_500m,land_use_encoded,area_m2,dist_nearest_recycling_m,recycling_density_1km,waste_per_capita_kg,coverage_gap_index,accessibility_composite,nse_high_ratio,recycling_deficit,is_optimal,suitability_score
32,1,Miraflores,15693.8,1443,0.7316,0.3395,0.0,0.9608,16.6,0.9096,28,3,2,2,657.6,556.6,2,0.513,0.9658,0.9236,0.7316,1,1,0.7353
33,1,Miraflores,14924.9,1546,0.8206,0.2035,0.0,0.841,19.1,0.954,32,4,1,0,133.7,526.1,3,0.91,0.7652,0.9469,0.8206,1,1,0.7789
34,1,Miraflores,18570.7,1780,0.6271,0.4243,0.0,0.8741,56.1,0.9113,38,5,0,1,255.9,70.0,2,0.73,0.1806,0.872,0.6271,0,1,0.6584
35,1,Miraflores,19878.9,1808,0.6346,0.3016,0.0638,0.928,17.4,0.4939,34,4,2,0,111.6,208.2,3,0.592,0.1269,0.6732,0.6346,0,0,0.5004
36,1,Miraflores,16709.4,1929,0.4853,0.3073,0.2074,0.9255,29.7,0.8161,47,5,2,2,175.8,485.5,3,0.55,0.128,0.8501,0.4853,0,0,0.6164
37,1,Miraflores,14857.6,1300,0.6837,0.2644,0.0518,0.9379,7.6,0.8402,34,3,0,3,198.4,261.2,3,0.689,0.0582,0.894,0.6837,0,0,0.5936
38,1,Miraflores,14897.6,1242,0.5938,0.2977,0.1086,0.8868,42.6,0.9291,43,2,2,0,136.9,1011.8,5,0.399,0.8427,0.9006,0.5938,1,1,0.645
39,1,Miraflores,18659.0,1747,0.6471,0.3842,0.0,0.7751,31.0,0.6392,40,2,3,2,92.5,23.8,3,0.755,0.1755,0.7422,0.6471,0,0,0.6117
40,1,Miraflores,18895.3,2054,0.6123,0.3349,0.0528,0.967,32.2,0.7001,39,4,2,3,79.0,148.8,2,0.507,0.0465,0.7771,0.6123,0,0,0.5741
41,1,Miraflores,18385.0,2064,0.6906,0.3763,0.0,0.9577,33.9,0.7288,28,3,1,0,37.6,20.7,3,0.706,0.2657,0.7921,0.6906,0,1,0.6848
42,1,Miraflores,15303.0,1835,0.5242,0.379,0.0968,0.9415,28.3,0.695,36,2,1,1,105.1,140.2,3,0.572,0.1105,0.7793,0.5242,0,1,0.5436
43,1,Miraflores,17592.0,1615,0.5533,0.4557,0.0,0.774,2.4,0.578,36,3,1,3,404.2,10.0,1,0.61,0.0149,0.7435,0.5533,0,0,0.6266
44,1,Miraflores,17297.5,1666,0.9129,0.3226,0.0,0.7991,11.0,0.7031,35,2,0,3,68.1,1640.3,3,0.536,0.8981,0.8071,0.9129,1,1,0.7802
45,1,Miraflores,17557.7,1500,0.5713,0.2319,0.1969,0.9285,62.9,0.4765,46,2,0,0,81.9,400.4,2,0.626,0.261,0.6021,0.5713,0,1,0.5159
46,1,Miraflores,19222.1,1979,0.5903,0.4354,0.0,0.7556,52.6,0.5358,46,3,2,0,1025.3,349.8,3,0.933,0.2751,0.6514,0.5903,0,1,0.5478
47,1,Miraflores,17570.2,2106,0.8837,0.3235,0.0,0.985,51.6,0.3561,34,2,2,1,147.1,360.8,2,0.858,0.1471,0.5449,0.8837,0,1,0.4392
48,1,Miraflores,18731.2,2023,0.95,0.4392,0.0,0.8405,88.0,0.887,36,1,1,0,316.3,156.8,2,0.703,0.2869,0.8149,0.95,0,1,0.7451
49,1,Miraflores,17172.3,1782,0.5828,0.3807,0.0365,0.9226,25.2,0.4021,37,3,0,0,409.1,79.1,2,0.646,0.2626,0.6077,0.5828,0,0,0.509
50,1,Miraflores,17737.3,1697,0.6632,0.3395,0.0,0.963,23.3,0.5146,35,8,1,0,415.7,435.1,5,0.777,0.2476,0.6777,0.6632,0,1,0.5526
51,1,Miraflores,18609.8,2170,0.7342,0.3779,0.0,0.8447,20.8,0.909,36,1,4,0,72.4,59.0,3,0.819,0.2579,0.9177,0.7342,0,0,0.7024
52,1,Miraflores,13284.3,1326,0.8729,0.5061,0.0,0.8266,2.0,0.783,44,5,1,1,203.4,21.4,3,0.526,0.1146,0.8671,0.8729,0,1,0.6255
53,1,Miraflores,16184.8,1381,0.6013,0.5162,0.0,0.8961,22.1,0.7044,38,2,0,1,67.0,174.5,1,0.638,0.2269,0.7932,0.6013,0,1,0.5659
54,1,Miraflores,15800.5,1494,0.6755,0.3556,0.0,0.8894,39.8,0.4736,44,4,1,1,1732.0,372.0,2,0.377,0.1732,0.631,0.6755,0,1,0.5734
55,1,Miraflores,15370.9,1270,0.7777,0.3628,0.0,0.8482,9.9,0.9096,29,1,0,2,68.3,39.3,0,0.818,0.2159,0.9325,0.7777,0,1,0.8049
56,1,Miraflores,16298.4,1435,0.7435,0.4361,0.0,0.8944,67.1,0.8079,42,2,0,0,105.8,736.7,0,0.96,0.7865,0.7954,0.7435,1,0,0.8567
57,1,Miraflores,20812.1,1679,0.6624,0.2823,0.0553,0.9745,30.2,0.5012,39,5,1,0,106.4,331.4,3,0.662,0.2194,0.6605,0.6624,0,1,0.701
58,1,Miraflores,14792.1,1451,0.6866,0.3766,0.0,0.8622,35.9,0.4837,26,2,0,0,73.9,1072.2,3,0.331,0.513,0.6423,0.6866,1,1,0.6283
59,1,Miraflores,19469.1,2051,0.5625,0.3479,0.0896,0.7972,28.2,0.8984,33,8,0,0,722.0,17.8,0,0.741,0.0908,0.9014,0.5625,0,1,0.6507
60,1,Miraflores,12708.7,1191,0.6762,0.3751,0.0,0.8405,51.2,0.5554,47,1,0,0,1699.3,10.0,1,0.514,0.2958,0.665,0.6762,0,1,0.6452
61,1,Miraflores,16146.0,1563,0.6734,0.2833,0.0433,0.8446,18.6,0.1737,34,1,1,0,167.2,121.5,4,0.55,0.1135,0.4794,0.6734,0,0,0.4621
62,1,Miraflores,17415.0,2061,0.7232,0.2228,0.0539,0.7815,23.4,0.5608,42,2,2,0,85.1,13.4,0,0.744,0.0599,0.7052,0.7232,0,1,0.6959
63,1,Miraflores,18494.9,2035,0.6445,0.1842,0.1714,0.7891,8.2,0.5423,30,1,2,0,40.9,645.1,3,0.688,0.9563,0.7144,0.6445,1,0,0.703
64,1,Miraflores,18813.6,1912,0.7472,0.2606,0.0,0.9143,21.7,0.5916,46,2,0,1,201.3,526.6,3,0.577,0.9403,0.726,0.7472,1,1,0.7444
65,1,Miraflores,19023.0,1738,0.8013,0.3133,0.0,0.8315,8.2,0.7172,48,0,0,1,190.0,213.2,0,0.553,0.1664,0.8194,0.8013,0,1,0.7396
66,1,Miraflores,16110.8,1866,0.7155,0.3265,0.0,0.9792,54.2,0.6914,51,3,4,3,145.3,79.9,4,0.669,0.0921,0.7426,0.7155,0,0,0.5584
67,1,Miraflores,15821.0,1414,0.7352,0.505,0.0,0.8085,25.6,0.5836,35,3,1,2,292.1,322.2,2,0.589,0.1825,0.716,0.7352,0,1,0.6427
68,1,Miraflores,19187.8,1784,0.7053,0.4385,0.0,0.7737,25.2,0.9126,36,6,1,1,335.7,326.9,1,0.484,0.0996,0.914,0.7053,0,0,0.669
69,1,Miraflores,16512.2,1921,0.7,0.273,0.027,0.9308,48.0,0.3338,47,2,0,0,316.9,640.6,1,0.6,0.8316,0.5363,0.7,1,1,0.627
70,1,Miraflores,13747.0,1390,0.6278,0.3778,0.0,0.9614,7.5,0.468,41,5,3,1,190.0,83.9,8,0.701,0.2588,0.6708,0.6278,0,0,0.511
71,1,Miraflores,14110.1,1547,0.7316,0.3174,0.0,0.8167,7.8,0.3038,34,0,0,0,101.4,549.6,3,0.623,0.6617,0.5719,0.7316,1,1,0.7686
72,1,Miraflores,14655.4,1518,0.6903,0.3273,0.0,0.7985,92.5,0.7378,30,3,2,0,416.8,467.7,1,0.438,0.2287,0.7193,0.6903,0,1,0.655
73,1,Miraflores,18267.8,1938,0.9093,0.3648,0.0,0.7946,27.6,0.8746,35,2,1,0,247.2,227.9,2,0.798,0.175,0.888,0.9093,0,0,0.6086
74,1,Miraflores,17363.2,1596,0.8573,0.3995,0.0,0.8753,25.4,0.7556,34,1,1,0,498.0,21.1,2,0.239,0.2974,0.8195,0.8573,0,1,0.6355
75,1,Miraflores,18760.7,1681,0.7386,0.3229,0.0,0.8624,1.0,0.8167,35,4,4,0,460.4,49.7,6,0.583,0.0724,0.8887,0.7386,0,1,0.5925
76,1,Miraflores,15910.5,1478,0.6237,0.4351,0.0,0.8123,14.9,0.8228,35,6,2,1,78.5,44.8,3,0.557,0.0787,0.8738,0.6237,0,0,0.6782
77,1,Miraflores,17404.3,1500,0.5888,0.2586,0.1526,0.7608,69.3,0.6178,33,2,2,2,77.7,315.2,3,0.672,0.0278,0.6783,0.5888,0,0,0.4539
78,1,Miraflores,18595.3,2137,0.8191,0.3505,0.0,0.8656,50.2,0.7834,35,2,1,2,133.7,770.3,1,0.734,0.5856,0.8032,0.8191,1,0,0.7576
79,1,Miraflores,16211.2,1480,0.7263,0.5578,0.0,0.9802,15.3,0.6667,38,2,1,1,105.1,434.0,2,0.819,0.184,0.7796,0.7263,0,1,0.6414
80,1,Miraflores,18164.8,1861,0.748,0.3678,0.0,0.9066,31.7,0.4417,35,2,0,1,447.7,108.4,3,0.543,0.2178,0.6228,0.748,0,1,0.6593
81,1,Miraflores,15312.1,1710,0.5255,0.4647,0.0098,0.8689,14.0,0.8497,47,1,2,0,324.1,380.4,3,0.738,0.1006,0.8912,0.5255,0,1,0.5474
82,1,Miraflores,16074.2,1789,0.7927,0.3573,0.0,0.7766,18.1,0.8357,25,2,3,1,589.5,458.4,1,0.679,0.0037,0.8773,0.7927,0,1,0.5379
83,1,Miraflores,16026.6,1563,0.7454,0.3965,0.0,0.8106,13.0,0.745,37,1,1,1,336.0,1617.5,2,0.393,0.6813,0.8296,0.7454,1,0,0.7605
84,1,Miraflores,13950.6,1381,0.589,0.3455,0.0656,0.8207,7.4,0.784,39,1,1,0,289.1,21.1,1,0.935,0.2996,0.8605,0.589,0,1,0.721
85,1,Miraflores,18241.8,2185,0.6528,0.3364,0.0108,0.9336,23.7,0.7449,42,3,2,0,638.9,331.6,2,0.434,0.0884,0.8154,0.6528,0,1,0.6323
86,1,Miraflores,15803.0,1690,0.7264,0.2876,0.0,0.9604,20.2,0.7631,40,0,2,3,356.3,887.8,1,0.713,0.893,0.8309,0.7264,1,1,0.7955
87,1,Miraflores,17031.9,1917,0.7052,0.3844,0.0,0.9664,92.2,0.5844,42,2,0,1,258.4,22.3,0,0.708,0.0845,0.6277,0.7052,0,1,0.6053
88,1,Miraflores,18225.9,2116,0.6708,0.2819,0.0473,0.9863,3.5,0.7254,45,5,6,0,799.8,117.4,1,0.691,0.1276,0.8306,0.6708,0,1,0.6196
89,1,Miraflores,18138.7,2022,0.6897,0.4032,0.0,0.9858,17.9,0.5445,38,4,0,1,268.3,385.2,3,0.576,0.0753,0.7028,0.6897,0,0,0.6557
90,1,Miraflores,18696.7,1634,0.6748,0.4368,0.0,0.9787,43.3,0.7016,45,4,2,0,191.8,202.6,4,0.774,0.1041,0.7632,0.6748,0,0,0.6087
91,1,Miraflores,16748.9,1716,0.7153,0.3793,0.0,0.7672,21.8,0.7276,36,3,1,0,125.2,283.1,1,0.416,0.1915,0.8074,0.7153,0,0,0.7006
92,1,Miraflores,15920.6,1338,0.8471,0.3271,0.0,0.7831,79.6,0.9362,34,3,1,0,429.4,274.2,3,0.64,0.1035,0.8556,0.8471,0,1,0.7126
93,1,Miraflores,16796.7,1782,0.4433,0.3863,0.1703,0.8231,14.6,0.7183,32,2,1,0,658.3,455.4,3,0.565,0.1188,0.8115,0.4433,0,1,0.4899
94,1,Miraflores,12697.3,1500,0.6763,0.3253,0.0,0.8827,5.0,0.419,46,1,0,1,235.0,172.9,1,0.548,0.012,0.6448,0.6763,0,1,0.4922
95,1,Miraflores,13309.9,1337,0.7177,0.4248,0.0,0.7733,64.6,0.7869,31,2,2,0,696.7,488.6,4,0.714,0.2754,0.7861,0.7177,0,0,0.5575
96,1,Miraflores,13627.1,1326,0.7296,0.2035,0.0669,0.953,2.1,0.9098,39,2,0,2,50.6,604.7,1,0.812,0.5728,0.9431,0.7296,1,1,0.6888
97,1,Miraflores,14457.0,1177,0.6628,0.3232,0.014,0.898,16.7,0.8597,34,5,1,0,234.1,362.6,0,0.599,0.0984,0.8935,0.6628,0,1,0.7122
98,1,Miraflores,18019.4,2133,0.5243,0.1907,0.2849,0.8802,12.5,0.715,42,4,2,1,237.0,144.7,2,0.767,0.0259,0.8123,0.5243,0,1,0.5939
99,1,Miraflores,14691.0,1235,0.7328,0.2304,0.0368,0.7897,27.6,0.7413,51,1,1,1,136.8,863.1,1,0.657,0.6248,0.8079,0.7328,1,0,0.6543
100,1,Miraflores,16035.7,1309,0.8727,0.4591,0.0,0.8108,39.0,0.4304,37,1,0,1,1647.6,13.4,0,0.516,0.2591,0.6063,0.8727,0,0,0.6752
101,1,Miraflores,20313.0,1824,0.5466,0.4216,0.0318,0.7885,19.2,0.3509,36,3,3,1,232.1,273.5,2,0.611,0.0123,0.5849,0.5466,0,0,0.5982
102,1,Miraflores,16091.5,1329,0.7864,0.2924,0.0,0.9545,56.5,0.8072,38,2,0,3,176.6,554.9,4,0.605,0.6409,0.8089,0.7864,1,1,0.7272
103,1,Miraflores,18880.7,1854,0.6671,0.2298,0.1031,0.8902,1.4,0.7006,39,5,1,1,249.8,190.1,4,0.546,0.0439,0.8185,0.6671,0,0,0.6125
104,1,Miraflores,14619.3,1471,0.6939,0.1128,0.1933,0.9264,11.7,0.9572,35,3,1,1,49.3,159.9,4,0.714,0.1807,0.9587,0.6939,0,1,0.6191
105,1,Miraflores,16476.1,1524,0.5947,0.3065,0.0988,0.821,26.2,0.6501,35,0,3,1,133.2,51.4,5,0.685,0.2764,0.7551,0.5947,0,1,0.5642
106,1,Miraflores,14577.4,1195,0.6666,0.5436,0.0,0.8391,14.3,0.6814,31,4,1,0,537.3,233.5,1,0.411,0.1313,0.7898,0.6666,0,1,0.605
107,1,Miraflores,16135.5,1362,0.83,0.3848,0.0,0.8472,4.7,0.7214,37,3,3,0,147.9,1070.9,1,0.402,0.9053,0.8266,0.83,1,1,0.7501
108,1,Miraflores,19142.8,1825,0.7583,0.3052,0.0,0.9324,6.9,0.6528,20,2,1,0,126.1,12.9,1,0.714,0.2298,0.7825,0.7583,0,1,0.7233
109,1,Miraflores,12595.3,1038,0.8732,0.3872,0.0,0.9354,15.2,0.6944,36,2,2,0,697.6,23.8,2,0.528,0.2228,0.7964,0.8732,0,1,0.581
110,1,Miraflores,18107.8,1954,0.8177,0.2251,0.0,0.7996,12.6,0.6382,32,8,3,0,714.9,918.9,3,0.695,0.7594,0.7661,0.8177,1,1,0.8199
111,1,Miraflores,17606.2,1554,0.7439,0.3262,0.0,0.976,39.2,0.9062,39,2,1,0,370.0,2035.9,3,0.767,0.6734,0.8914,0.7439,1,1,0.8024
112,1,Miraflores,15484.9,1425,0.8744,0.358,0.0,0.779,35.5,0.7532,39,1,1,1,170.0,381.8,2,0.459,0.1073,0.8045,0.8744,0,0,0.6696
113,1,Miraflores,13312.6,1274,0.7439,0.3431,0.0,0.9651,33.6,0.5978,44,3,0,0,202.0,1988.0,1,0.438,0.8761,0.7139,0.7439,1,1,0.7463
114,1,Miraflores,17183.9,1661,0.7828,0.4133,0.0,0.7741,29.2,0.6528,36,4,1,2,128.6,314.5,2,0.901,0.2085,0.7528,0.7828,0,1,0.6401
115,1,Miraflores,15649.8,1253,0.6703,0.3776,0.0,0.8135,41.9,0.4796,45,3,1,0,110.4,325.2,2,0.703,0.1998,0.6319,0.6703,0,1,0.4869
116,1,Miraflores,17593.3,1486,0.7067,0.4035,0.0,0.9532,88.7,0.5442,39,4,0,1,106.1,517.7,2,0.587,0.6847,0.6082,0.7067,1,0,0.6814
117,1,Miraflores,17055.7,1953,0.6303,0.2949,0.0748,0.7931,10.5,0.7152,31,3,1,0,149.2,1504.2,3,0.51,0.5005,0.8152,0.6303,1,1,0.6736
118,1,Miraflores,21084.5,1687,0.799,0.4218,0.0,0.8493,64.6,0.7079,42,5,2,0,106.9,136.2,2,0.573,0.1019,0.7386,0.799,0,1,0.6928
119,1,Miraflores,16389.6,1644,0.5822,0.4803,0.0,0.858,1.0,0.5598,42,3,3,0,70.0,306.6,2,0.471,0.0127,0.7346,0.5822,0,1,0.6035
120,1,Miraflores,14390.1,1432,0.7782,0.2724,0.0,0.8089,91.2,0.8951,45,3,2,1,291.6,1082.7,0,0.783,0.7992,0.8155,0.7782,1,1,0.8151
121,1,Miraflores,17457.2,1629,0.6809,0.279,0.0401,0.9205,3.2,0.7877,27,2,1,0,295.2,1013.2,0,0.533,0.7999,0.8684,0.6809,1,1,0.7665
122,1,Miraflores,17561.0,1707,0.8171,0.4569,0.0,0.9543,3.6,0.707,32,4,1,3,954.0,899.6,3,0.814,0.7753,0.8195,0.8171,1,1,0.6978
123,1,Miraflores,20465.9,2276,0.7751,0.3347,0.0,0.9599,17.1,0.7097,36,1,0,0,143.4,480.6,2,0.59,0.0208,0.803,0.7751,0,1,0.7559
124,1,Miraflores,19129.5,2174,0.8821,0.4623,0.0,0.8314,5.0,0.6155,37,4,4,1,310.1,481.8,5,0.493,0.217,0.7627,0.8821,0,1,0.6584
125,1,Miraflores,17910.0,1619,0.7731,0.3146,0.0,0.8774,1.0,0.8597,44,2,0,0,314.2,316.1,5,0.586,0.2246,0.9145,0.7731,0,1,0.5837
126,1,Miraflores,20731.4,1925,0.5428,0.4664,0.0,0.8096,1.0,0.9719,37,8,0,1,199.7,30.3,3,0.256,0.1999,0.9818,0.5428,0,1,0.6824
127,1,Miraflores,13968.7,1252,0.6933,0.3605,0.0,0.8088,10.0,0.833,40,3,1,0,443.8,176.3,3,0.632,0.0611,0.8864,0.6933,0,1,0.5571
128,1,Miraflores,15368.6,1524,0.5828,0.3707,0.0465,0.7887,52.4,0.9737,33,3,1,0,454.9,555.4,1,0.624,0.6439,0.9143,0.5828,1,1,0.7374
129,1,Miraflores,14637.2,1571,0.6482,0.4752,0.0,0.9756,3.9,0.7069,35,2,0,0,318.0,187.4,0,0.774,0.2259,0.819,0.6482,0,1,0.6993
130,1,Miraflores,16006.0,1426,0.8511,0.3211,0.0,0.9631,27.6,0.8856,37,3,0,0,199.4,135.4,1,0.367,0.1973,0.8946,0.8511,0,1,0.829
131,1,Miraflores,13489.5,1257,0.7638,0.2747,0.0,0.9366,51.8,0.2873,34,2,0,0,183.8,10.0,2,0.824,0.1953,0.5034,0.7638,0,0,0.5418
132,1,Miraflores,18619.6,2182,0.6301,0.3141,0.0558,0.8742,6.5,0.8198,35,2,0,3,81.9,660.2,7,0.773,0.831,0.8832,0.6301,1,1,0.6983
133,1,Miraflores,16433.3,1346,0.5986,0.3862,0.0152,0.8677,10.2,0.7448,46,8,1,0,128.4,310.8,2,0.838,0.2785,0.8332,0.5986,0,1,0.5238
134,1,Miraflores,13249.4,1304,0.7033,0.2247,0.072,0.8771,151.9,0.4106,30,1,2,0,148.8,193.8,3,0.642,0.1787,0.4438,0.7033,0,1,0.4324
135,1,Miraflores,14410.3,1562,0.5783,0.401,0.0207,0.8788,36.2,0.7017,45,4,1,3,99.6,441.0,2,0.802,0.125,0.7728,0.5783,0,1,0.6582
136,1,Miraflores,17799.5,1531,0.6329,0.3069,0.0602,0.8543,21.7,0.9472,30,8,0,0,347.9,70.8,2,0.429,0.1091,0.9394,0.6329,0,1,0.6882
137,1,Miraflores,19137.2,1567,0.7312,0.4418,0.0,0.7816,55.9,0.602,42,1,0,0,637.3,839.4,0,0.757,0.5746,0.6868,0.7312,1,0,0.461
138,1,Miraflores,22091.7,1889,0.8155,0.1585,0.026,0.7802,3.3,0.8743,39,1,2,1,118.3,335.3,4,0.534,0.1934,0.9202,0.8155,0,1,0.737
139,1,Miraflores,24430.3,2852,0.7609,0.2871,0.0,0.9785,46.4,0.5755,35,6,2,3,307.0,804.0,4,0.402,0.6819,0.6834,0.7609,1,1,0.8417
140,1,Miraflores,18056.7,1451,0.4709,0.2151,0.314,0.8657,41.0,0.8671,33,3,2,1,107.0,10.0,2,0.481,0.0427,0.8656,0.4709,0,1,0.47
141,1,Miraflores,14476.7,1267,0.7304,0.2839,0.0,0.9788,13.6,0.8324,29,4,1,0,191.7,75.0,2,0.651,0.2701,0.8813,0.7304,0,1,0.7402
142,1,Miraflores,11563.3,939,0.7072,0.3698,0.0,0.7893,10.9,0.5919,39,2,0,3,140.9,45.0,3,0.526,0.2653,0.7406,0.7072,0,0,0.3337
143,1,Miraflores,17682.7,1492,0.7414,0.3357,0.0,0.8831,24.7,0.9138,44,1,2,0,396.0,104.6,3,0.706,0.2855,0.9154,0.7414,0,1,0.7304
144,1,Miraflores,14927.0,1564,0.8616,0.3297,0.0,0.7999,43.6,0.4919,38,3,1,3,142.2,493.6,4,0.379,0.1284,0.6371,0.8616,0,1,0.5209
145,1,Miraflores,15940.8,1429,0.4937,0.3373,0.1691,0.8108,48.2,0.7321,34,2,1,2,549.7,49.6,4,0.331,0.2352,0.775,0.4937,0,0,0.3732
146,1,Miraflores,15439.2,1586,0.6409,0.3663,0.0,0.7572,67.8,0.8274,36,4,2,3,201.0,1235.0,0,0.856,0.5971,0.806,0.6409,1,0,0.7621
147,1,Miraflores,16641.0,1724,0.7591,0.2693,0.0,0.7785,6.0,0.4301,37,0,0,0,145.5,387.9,1,0.786,0.0947,0.65,0.7591,0,0,0.6962
